order,original_index,x,y,dx,dy,slope,angle_deg,radius
143,143,10458.8,2987.1,2759.677013,-3064.595955,-1.110490807,312.003122,4124.022985
144,144,10465.5,2994.5,2766.377013,-3057.195955,-1.105126286,312.141125,4123.019389
145,145,10472.2,3001.9,2773.077013,-3049.795955,-1.099787687,312.279194,4122.039724
146,146,10478.9,3009.4,2779.777013,-3042.295955,-1.094438849,312.418266,4121.010182
147,147,10485.5,3016.8,2786.377013,-3034.895955,-1.089190709,312.555441,4120.010961
148,148,10492.2,3024.3,2793.077013,-3027.395955,-1.083892761,312.694648,4119.029676
149,149,10498.9,3031.7,2799.777013,-3019.995955,-1.078655886,312.832974,4118.14605
150,150,10505.6,3039.1,2806.477013,-3012.595955,-1.073444016,312.971359,4117.286438
151,151,10512.3,3046.6,2813.177013,-3005.095955,-1.068221424,313.110752,4116.37785
152,152,10519.0,3054.0,2819.877013,-2997.695955,-1.063059112,313.249252,4115.566475
153,153,10525.7,3061.4,2826.577013,-2990.295955,-1.057921274,313.387806,4114.779157
154,154,10532.3,3068.9,2833.177013,-2982.795955,-1.052809599,313.526361,4113.874536
155,155,10539.0,3076.3,2839.877013,-2975.395955,-1.047720004,313.665023,4113.135366
156,156,10545.7,3083.7,2846.577013,-2967.995955,-1.042654367,313.803733,4112.420295
157,157,10552.4,3091.2,2853.277013,-2960.495955,-1.037577474,313.943458,4111.657331
158,158,10559.1,3098.6,2859.977013,-2953.095955,-1.032559332,314.082264,4110.990663
159,159,10565.8,3106.1,2866.677013,-2945.595955,-1.027529764,314.222087,4110.276466
160,160,10572.5,3113.5,2873.377013,-2938.195955,-1.022558453,314.360982,4109.65825
161,161,10579.1,3120.9,2879.977013,-2930.795955,-1.017645607,314.498924,4108.994101
162,162,10585.6,3128.6,2886.477013,-2923.095955,-1.012686379,314.638858,4108.070047
163,163,10591.9,3136.4,2892.777013,-2915.295955,-1.007784541,314.777855,4106.95865
164,164,10597.9,3144.3,2898.777013,-2907.395955,-1.002973303,314.914948,4105.588802
165,165,10603.7,3152.5,2904.577013,-2899.195955,-0.998147386,315.053123,4103.888986
166,166,10609.3,3160.8,2910.177013,-2890.895955,-0.99337461,315.190434,4102.000691
167,167,10614.3,3169.4,2915.177013,-2882.295955,-0.988720733,315.324956,4099.498383
168,168,10619.0,3178.3,2919.877013,-2873.395955,-0.984081159,315.45969,4096.59445
169,169,10623.2,3187.3,2924.077013,-2864.395955,-0.979589779,315.590717,4093.286035
170,170,10626.9,3196.6,2927.777013,-2855.095955,-0.975175344,315.720074,4089.431641
171,171,10630.2,3206.0,2931.077013,-2845.695955,-0.970870414,315.846773,4085.241477
172,172,10633.5,3215.5,2934.377013,-2836.195955,-0.966541089,315.974742,4081.001832
173,173,10636.7,3224.9,2937.577013,-2826.795955,-0.962288288,316.100988,4076.779866
174,174,10640.0,3234.4,2940.877013,-2817.295955,-0.957978162,316.229485,4072.580767
175,175,10643.3,3243.8,2944.177013,-2807.895955,-0.953711663,316.357227,4068.471209
176,176,10646.6,3253.3,2947.477013,-2798.395955,-0.94942079,316.486249,4064.313062
177,177,10649.9,3262.7,2950.777013,-2788.995955,-0.945173404,316.61451,4060.244256
178,178,10653.2,3272.2,2954.077013,-2779.495955,-0.940901656,316.744055,4056.127311
179,179,10656.4,3281.6,2957.277013,-2770.095955,-0.936704929,316.871865,4052.026521
180,180,10659.7,3291.1,2960.577013,-2760.595955,-0.932451999,317.001933,4047.950874
181,181,10663.0,3300.5,2963.877013,-2751.195955,-0.928242279,317.131225,4043.96416
182,182,10666.3,3309.9,2967.177013,-2741.795955,-0.924041923,317.260771,4039.99808
183,183,10669.6,3319.4,2970.477013,-2732.295955,-0.919817236,317.391616,4035.984994
184,184,10672.9,3328.8,2973.777013,-2722.895955,-0.915635551,317.521672,4032.060528
185,185,10676.1,3338.3,2976.977013,-2713.395955,-0.911460163,317.652075,4028.015609
186,186,10679.4,3347.7,2980.277013,-2703.995955,-0.907296853,317.782641,4024.13285
187,187,10682.7,3357.2,2983.577013,-2694.495955,-0.903109235,317.914516,4020.204005
188,188,10686.0,3366.6,2986.877013,-2685.095955,-0.898964351,318.045588,4016.363352
189,189,10689.3,3376.1,2990.177013,-2675.595955,-0.894795172,318.177974,4012.477076
190,190,10692.6,3385.5,2993.477013,-2666.195955,-0.890668591,318.309549,4008.678772
191,191,10695.8,3395.0,2996.677013,-2656.695955,-0.886547313,318.441494,4004.760482
192,192,10699.3,3404.4,3000.177013,-2647.295955,-0.882379921,318.575465,4001.154581
193,193,10702.8,3413.7,3003.677013,-2637.995955,-0.878255532,318.708601,3997.636584
194,194,10706.4,3423.0,3007.277013,-2628.695955,-0.874111677,318.842914,3994.215499
195,195,10710.1,3432.3,3010.977013,-2619.395955,-0.869948838,318.978399,3990.891848
196,196,10714.0,3441.5,3014.877013,-2610.195955,-0.865771951,319.114905,3987.807208
197,197,10717.7,3450.8,3018.577013,-2600.895955,-0.861629815,319.250832,3984.528448
198,198,10721.4,3460.1,3022.277013,-2591.595955,-0.857497821,319.386983,3981.272151
199,199,10724.9,3469.5,3025.777013,-2582.195955,-0.85339929,319.522582,3977.821324
200,200,10728.4,3478.9,3029.277013,-2572.795955,-0.849310229,319.658415,3974.392815
201,201,10731.7,3488.3,3032.577013,-2563.395955,-0.84528635,319.792619,3970.833938
202,202,10734.8,3497.8,3035.677013,-2553.895955,-0.841293703,319.926309,3967.079464
203,203,10737.9,3507.3,3038.777013,-2544.395955,-0.837309202,320.060252,3963.34663
204,204,10740.8,3516.9,3041.677013,-2534.795955,-0.833354739,320.193705,3959.417834
205,205,10743.5,3526.5,3044.377013,-2525.195955,-0.829462298,320.325573,3955.356622
206,206,10746.0,3536.2,3046.877013,-2515.495955,-0.825598127,320.456983,3951.098509
207,207,10748.4,3545.9,3049.277013,-2505.795955,-0.82176724,320.587755,3946.783965
208,208,10750.6,3555.6,3051.477013,-2496.095955,-0.817995988,320.716972,3942.335219
209,209,10752.7,3565.4,3053.577013,-2486.295955,-0.814224087,320.846689,3937.765883
210,210,10754.6,3575.2,3055.477013,-2476.495955,-0.810510419,320.974873,3933.061402
211,211,10756.3,3585.1,3057.177013,-2466.595955,-0.806821438,321.102667,3928.158206
212,212,10757.8,3595.0,3058.677013,-2456.695955,-0.803189073,321.22895,3923.118668
213,213,10759.1,3604.9,3059.977013,-2446.795955,-0.799612528,321.353731,3917.942032
214,214,10760.3,3614.8,3061.177013,-2436.895955,-0.796065025,321.47793,3912.70579
215,215,10761.2,3624.8,3062.077013,-2426.895955,-0.79256529,321.600878,3907.190757
216,216,10762.1,3634.7,3062.977013,-2416.995955,-0.789100259,321.72302,3901.755711
217,217,10763.1,3644.7,3063.977013,-2406.995955,-0.785578986,321.847567,3896.355305
218,218,10764.2,3654.6,3065.077013,-2397.095955,-0.782067121,321.972206,3891.113737
219,219,10765.5,3664.5,3066.377013,-2387.195955,-0.778506995,322.098993,3886.048445
220,220,10767.0,3674.4,3067.877013,-2377.295955,-0.774899367,322.227918,3881.160319
221,221,10768.6,3684.3,3069.477013,-2367.395955,-0.771270136,322.358071,3876.371079
222,222,10770.1,3694.2,3070.977013,-2357.495955,-0.767669684,322.487644,3871.522568
223,223,10771.4,3704.1,3072.277013,-2347.595955,-0.764122488,322.615741,3866.534988
224,224,10772.6,3714.0,3073.477013,-2337.695955,-0.760603038,322.743271,3861.487191
225,225,10773.6,3724.0,3074.477013,-2327.695955,-0.75710306,322.870525,3856.238758
226,226,10774.5,3733.9,3075.377013,-2317.795955,-0.753662379,322.996041,3850.989725
227,227,10775.6,3743.9,3076.477013,-2307.795955,-0.750142434,323.12488,3845.859199
228,228,10776.8,3753.8,3077.677013,-2297.895955,-0.746633238,323.253759,3840.888129
229,229,10778.1,3763.7,3078.977013,-2287.995955,-0.743102642,323.383862,3836.016806
230,230,10779.6,3773.6,3080.477013,-2278.095955,-0.73952701,323.516074,3831.326116
231,231,10781.2,3783.5,3082.077013,-2268.195955,-0.735930979,323.649497,3826.736417
232,232,10782.9,3793.3,3083.777013,-2258.395955,-0.73234736,323.782916,3822.307282
233,233,10784.5,3803.2,3085.377013,-2248.495955,-0.728758899,323.916972,3817.759208
234,234,10786.1,3813.1,3086.977013,-2238.595955,-0.725174157,324.051348,3813.232084
235,235,10787.7,3823.0,3088.577013,-2228.695955,-0.72159313,324.186042,3808.725984
236,236,10789.3,3832.8,3090.177013,-2218.895955,-0.718048172,324.319832,3804.299309
237,237,10790.8,3842.7,3091.677013,-2208.995955,-0.714497648,324.454282,3799.753924
238,238,10792.3,3852.6,3093.177013,-2199.095955,-0.710950568,324.589054,3795.229513
239,239,10793.6,3862.5,3094.477013,-2189.195955,-0.707452647,324.722401,3790.562876
240,240,10794.8,3872.4,3095.677013,-2179.295955,-0.703980404,324.855205,3785.83505
241,241,10795.9,3882.4,3096.777013,-2169.295955,-0.700501181,324.988712,3780.988338
242,242,10797.1,3892.3,3097.977013,-2159.395955,-0.697034208,325.122184,3776.301426
243,243,10798.4,3902.2,3099.277013,-2149.495955,-0.693547542,325.256853,3771.71723
244,244,10799.6,3912.1,3100.477013,-2139.595955,-0.690086056,325.390984,3767.071616
245,245,10801.0,3922.1,3101.877013,-2129.595955,-0.686550739,325.528426,3762.554974
246,246,10802.4,3932.0,3103.277013,-2119.695955,-0.683050835,325.664938,3758.116438
247,247,10803.8,3941.9,3104.677013,-2109.795955,-0.679554087,325.801772,3753.699286
248,248,10805.3,3951.7,3106.177013,-2099.995955,-0.676070921,325.938518,3749.442445
249,249,10806.8,3961.6,3107.677013,-2090.095955,-0.672558939,326.076843,3745.151201
250,250,10808.4,3971.5,3109.277013,-2080.195955,-0.669028828,326.216336,3740.96495
251,251,10810.0,3981.4,3110.877013,-2070.295955,-0.665502347,326.356142,3736.800922
252,252,10811.7,3991.2,3112.577013,-2060.495955,-0.661990353,326.495825,3732.797777
253,253,10813.3,4001.1,3114.177013,-2050.595955,-0.658471226,326.636246,3728.67835
254,254,10815.0,4011.0,3115.877013,-2040.695955,-0.654934693,326.77782,3724.665024
255,255,10816.7,4020.8,3117.577013,-2030.895955,-0.651434093,326.918408,3720.72907
256,256,10818.4,4030.7,3119.277013,-2020.995955,-0.64790525,327.060586,3716.761189
257,257,10820.1,4040.5,3120.977013,-2011.195955,-0.644412293,327.20177,3712.87041
258,258,10821.8,4050.4,3122.677013,-2001.295955,-0.640891116,327.344551,3708.948264
259,259,10823.5,4060.2,3124.377013,-1991.495955,-0.637405776,327.486328,3705.102948
260,260,10825.1,4070.1,3125.977013,-1981.595955,-0.633912516,327.628878,3701.142366
261,261,10826.7,4080.0,3127.577013,-1971.695955,-0.630422831,327.771733,3697.204743
262,262,10828.3,4089.8,3129.177013,-1961.895955,-0.626968671,327.913576,3693.343271
263,263,10829.9,4099.7,3130.777013,-1951.995955,-0.623486101,328.057034,3689.451574
264,264,10831.5,4109.6,3132.377013,-1942.095955,-0.620007089,328.200794,3685.583054
265,265,10833.1,4119.5,3133.977013,-1932.195955,-0.616531629,328.344855,3681.737786
266,266,10834.7,4129.3,3135.577013,-1922.395955,-0.613091609,328.487888,3677.968109
267,267,10836.3,4139.2,3137.177013,-1912.495955,-0.609623221,328.632545,3674.169347
268,268,10838.0,4149.0,3138.877013,-1902.695955,-0.606170916,328.776975,3670.531406
269,269,10839.8,4158.9,3140.677013,-1892.795955,-0.602671318,328.923835,3666.950862
270,270,10841.6,4168.7,3142.477013,-1882.995955,-0.599207551,329.06964,3663.445857
271,271,10843.5,4178.5,3144.377013,-1873.195955,-0.595728803,329.216525,3660.05053
272,272,10845.3,4188.4,3146.177013,-1863.295955,-0.592241297,329.364231,3656.542303
273,273,10847.0,4198.2,3147.877013,-1853.495955,-0.58880825,329.510072,3653.022987
274,274,10848.8,4208.1,3149.677013,-1843.595955,-0.585328574,329.658342,3649.56317
275,275,10850.4,4217.9,3151.277013,-1833.795955,-0.581921534,329.803953,3646.005268
276,276,10852.0,4227.8,3152.877013,-1823.895955,-0.578486236,329.951209,3642.420886
277,277,10853.6,4237.7,3154.477013,-1813.995955,-0.575054422,330.098755,3638.860612
278,278,10855.3,4247.5,3156.177013,-1804.195955,-0.57163966,330.246002,3635.460959
279,279,10856.9,4257.4,3157.777013,-1794.295955,-0.568214902,330.394116,3631.949014
280,280,10858.5,4267.3,3159.377013,-1784.395955,-0.564793612,330.542516,3628.461387
281,281,10860.1,4277.2,3160.977013,-1774.495955,-0.561375786,330.691201,3624.998148
282,282,10861.7,4287.0,3162.577013,-1764.695955,-0.557993038,330.838787,3621.608093
283,283,10863.4,4296.9,3164.277013,-1754.795955,-0.554564581,330.988802,3618.281064
284,284,10865.1,4306.7,3165.977013,-1744.995955,-0.551171391,331.137703,3615.027155
285,285,10866.8,4316.6,3167.677013,-1735.095955,-0.547750275,331.288264,3611.749664
286,286,10868.5,4326.4,3169.377013,-1725.295955,-0.544364381,331.437702,3608.544968
287,287,10870.2,4336.3,3171.077013,-1715.395955,-0.540950582,331.588802,3605.317282
288,288,10871.9,4346.2,3172.777013,-1705.495955,-0.537540441,331.740173,3602.114716
289,289,10873.5,4356.0,3174.377013,-1695.695955,-0.534182281,331.889657,3598.896246
290,290,10875.2,4365.9,3176.077013,-1685.795955,-0.530779307,332.041562,3595.743761
291,291,10876.8,4375.7,3177.677013,-1675.995955,-0.527428039,332.191579,3592.574793
292,292,10878.4,4385.6,3179.277013,-1666.095955,-0.52404869,332.343273,3589.384078
293,293,10880.0,4395.5,3180.877013,-1656.195955,-0.520672741,332.495236,3586.218567
294,294,10881.6,4405.4,3182.477013,-1646.295955,-0.517300187,332.647466,3583.078329
