order,original_index,x,y,dx,dy,slope,angle_deg,radius
97,97,10088.7,2723.2,2332.162427,-3435.365641,-1.473038756,304.171358,4152.194441
98,98,10097.6,2728.0,2341.062427,-3430.565641,-1.465388364,304.310134,4153.23415
99,99,10106.4,2732.7,2349.862427,-3425.865641,-1.457900514,304.446922,4154.32411
100,100,10115.2,2737.4,2358.662427,-3421.165641,-1.450468537,304.583638,4155.437737
101,101,10124.0,2742.1,2367.462427,-3416.465641,-1.443091811,304.720279,4156.575011
102,102,10132.9,2746.8,2376.362427,-3411.765641,-1.435709302,304.857976,4157.793065
103,103,10141.7,2751.5,2385.162427,-3407.065641,-1.428441771,304.994463,4158.977769
104,104,10150.5,2756.2,2393.962427,-3402.365641,-1.421227669,305.130872,4160.18606
105,105,10159.3,2760.9,2402.762427,-3397.665641,-1.414066411,305.2672,4161.417918
106,106,10168.1,2765.6,2411.562427,-3392.965641,-1.406957416,305.403447,4162.673321
107,107,10177.0,2770.3,2420.462427,-3388.265641,-1.399842279,305.540731,4164.010376
108,108,10185.8,2775.0,2429.262427,-3383.565641,-1.392836609,305.676808,4165.313
109,109,10194.6,2779.7,2438.062427,-3378.865641,-1.385881511,305.8128,4166.639103
110,110,10203.4,2784.5,2446.862427,-3374.065641,-1.378935572,305.949511,4167.907711
111,111,10212.3,2789.2,2455.762427,-3369.365641,-1.372024266,306.08644,4169.339746
112,112,10221.1,2793.9,2464.562427,-3364.665641,-1.365218265,306.222165,4170.736485
113,113,10229.9,2798.6,2473.362427,-3359.965641,-1.358460695,306.357799,4172.156613
114,114,10238.7,2803.3,2482.162427,-3355.265641,-1.351751039,306.49334,4173.600105
115,115,10247.5,2808.0,2490.962427,-3350.565641,-1.345088792,306.628786,4175.066937
116,116,10256.4,2812.7,2499.862427,-3345.865641,-1.338419909,306.765235,4176.616937
117,117,10265.2,2817.4,2508.662427,-3341.165641,-1.33185143,306.900486,4178.130564
118,118,10274.0,2822.1,2517.462427,-3336.465641,-1.325328873,307.035638,4179.667456
119,119,10282.8,2826.8,2526.262427,-3331.765641,-1.318851757,307.17069,4181.227587
120,120,10291.7,2831.5,2535.162427,-3327.065641,-1.312367841,307.30673,4182.871539
121,121,10300.5,2836.3,2543.962427,-3322.265641,-1.305941316,307.442407,4184.39886
122,122,10309.2,2841.2,2552.662427,-3317.365641,-1.299570835,307.577735,4185.809391
123,123,10317.7,2846.4,2561.162427,-3312.165641,-1.293227484,307.713317,4186.883592
124,124,10326.1,2851.8,2569.562427,-3306.765641,-1.286898347,307.849427,4187.76194
125,125,10334.3,2857.5,2577.762427,-3301.065641,-1.280593435,307.985849,4188.30437
126,126,10342.3,2863.5,2585.762427,-3295.065641,-1.274311053,308.122616,4188.511061
127,127,10350.1,2869.8,2593.562427,-3288.765641,-1.268049539,308.259762,4188.382206
128,128,10357.6,2876.4,2601.062427,-3282.165641,-1.261855774,308.396247,4187.8559
129,129,10364.9,2883.3,2608.362427,-3275.265641,-1.255678891,308.533183,4186.994097
130,130,10371.9,2890.4,2615.362427,-3268.165641,-1.249603346,308.668679,4185.812619
131,131,10378.6,2897.8,2622.062427,-3260.765641,-1.243588104,308.803623,4184.232777
132,132,10385.3,2905.3,2628.762427,-3253.265641,-1.237565482,308.93953,4182.598382
133,133,10391.9,2912.7,2635.362427,-3245.865641,-1.231658161,309.073615,4181.002138
134,134,10398.6,2920.1,2642.062427,-3238.465641,-1.22573396,309.208863,4179.492024
135,135,10405.3,2927.6,2648.762427,-3230.965641,-1.219801975,309.345078,4177.92788
136,136,10412.0,2935.0,2655.462427,-3223.565641,-1.213937583,309.480522,4176.464551
137,137,10418.7,2942.4,2662.162427,-3216.165641,-1.208102709,309.61606,4175.024577
138,138,10425.4,2949.9,2668.862427,-3208.665641,-1.202259663,309.752569,4173.531101
139,139,10432.1,2957.3,2675.562427,-3201.265641,-1.196483255,309.888294,4172.138061
140,140,10438.7,2964.8,2682.162427,-3193.765641,-1.190742816,310.02394,4170.627561
141,141,10445.4,2972.2,2688.862427,-3186.365641,-1.185023677,310.159848,4169.281371
142,142,10452.1,2979.6,2695.562427,-3178.965641,-1.179332969,310.295843,4167.958654
143,143,10458.8,2987.1,2702.262427,-3171.465641,-1.173633474,310.432815,4166.583317
144,144,10465.5,2994.5,2708.962427,-3164.065641,-1.167999087,310.568983,4165.307769
145,145,10472.2,3001.9,2715.662427,-3156.665641,-1.162392501,310.705233,4164.055762
146,146,10478.9,3009.4,2722.362427,-3149.165641,-1.156776779,310.842464,4162.751664
147,147,10485.5,3016.8,2728.962427,-3141.765641,-1.15126746,310.977838,4161.481379
148,148,10492.2,3024.3,2735.662427,-3134.265641,-1.145706287,311.115238,4160.224756
149,149,10498.9,3031.7,2742.362427,-3126.865641,-1.140208752,311.251811,4159.067253
150,150,10505.6,3039.1,2749.062427,-3119.465641,-1.134738015,311.38846,4157.933394
151,151,10512.3,3046.6,2755.762427,-3111.965641,-1.129257591,311.526096,4156.748333
152,152,10519.0,3054.0,2762.462427,-3104.565641,-1.123839952,311.662893,4155.661978
153,153,10525.7,3061.4,2769.162427,-3097.165641,-1.118448528,311.799761,4154.599325
154,154,10532.3,3068.9,2775.762427,-3089.665641,-1.113087205,311.936594,4153.419173
155,155,10539.0,3076.3,2782.462427,-3082.265641,-1.107747444,312.073604,4152.403959
156,156,10545.7,3083.7,2789.162427,-3074.865641,-1.102433337,312.210679,4151.412501
157,157,10552.4,3091.2,2795.862427,-3067.365641,-1.097108932,312.34875,4150.370909
158,158,10559.1,3098.6,2802.562427,-3059.965641,-1.091845666,312.485956,4149.427175
159,159,10565.8,3106.1,2809.262427,-3052.465641,-1.08657191,312.62416,4148.433665
160,160,10572.5,3113.5,2815.962427,-3045.065641,-1.081358761,312.76149,4147.537721
161,161,10579.1,3120.9,2822.562427,-3037.665641,-1.076208488,312.897868,4146.597545
162,162,10585.6,3128.6,2829.062427,-3029.965641,-1.071014062,313.036125,4145.393347
163,163,10591.9,3136.4,2835.362427,-3022.165641,-1.065883364,313.173392,4144.00353
164,164,10597.9,3144.3,2841.362427,-3014.265641,-1.060852221,313.308679,4142.358965
165,165,10603.7,3152.5,2847.162427,-3006.065641,-1.055811081,313.444918,4140.382171
166,166,10609.3,3160.8,2852.762427,-2997.765641,-1.050829053,313.580236,4138.218494
167,167,10614.3,3169.4,2857.762427,-2989.165641,-1.045981154,313.712558,4135.446447
168,168,10619.0,3178.3,2862.462427,-2980.265641,-1.041154501,313.844938,4132.272309
169,169,10623.2,3187.3,2866.662427,-2971.265641,-1.036489547,313.973492,4128.701125
170,170,10626.9,3196.6,2870.362427,-2961.965641,-1.031913466,314.10018,4124.587364
171,171,10630.2,3206.0,2873.662427,-2952.565641,-1.02745737,314.224104,4120.143154
172,172,10633.5,3215.5,2876.962427,-2943.065641,-1.022976739,314.349269,4115.64675
173,173,10636.7,3224.9,2880.162427,-2933.665641,-1.018576457,314.472736,4111.171329
174,174,10640.0,3234.4,2883.462427,-2924.165641,-1.01411609,314.598445,4106.714047
175,175,10643.3,3243.8,2886.762427,-2914.765641,-1.009700561,314.723443,4102.347627
176,176,10646.6,3253.3,2890.062427,-2905.265641,-1.005260514,314.849693,4097.929877
177,177,10649.9,3262.7,2893.362427,-2895.865641,-1.000865157,314.975226,4093.602807
178,178,10653.2,3272.2,2896.662427,-2886.365641,-0.996445293,315.102016,4089.224844
179,179,10656.4,3281.6,2899.862427,-2876.965641,-0.992104182,315.227094,4084.866386
180,180,10659.7,3291.1,2903.162427,-2867.465641,-0.987704172,315.354424,4080.528309
181,181,10663.0,3300.5,2906.462427,-2858.065641,-0.98334856,315.481022,4076.280541
182,182,10666.3,3309.9,2909.762427,-2848.665641,-0.979002827,315.607884,4072.052715
183,183,10669.6,3319.4,2913.062427,-2839.165641,-0.974632612,315.736018,4067.775097
184,184,10672.9,3328.8,2916.362427,-2829.765641,-0.970306576,315.863408,4063.587502
185,185,10676.1,3338.3,2919.562427,-2820.265641,-0.965989155,315.991096,4059.278637
186,186,10679.4,3347.7,2922.862427,-2810.865641,-0.961682498,316.119015,4055.131369
187,187,10682.7,3357.2,2926.162427,-2801.365641,-0.957351381,316.248217,4050.935201
188,188,10686.0,3366.6,2929.462427,-2791.965641,-0.953064158,316.376661,4046.828666
189,189,10689.3,3376.1,2932.762427,-2782.465641,-0.948752485,316.506394,4042.673682
190,190,10692.6,3385.5,2936.062427,-2773.065641,-0.944484564,316.635362,4038.608129
191,191,10695.8,3395.0,2939.262427,-2763.565641,-0.940224192,316.764651,4034.421726
192,192,10699.3,3404.4,2942.762427,-2754.165641,-0.935911651,316.896084,4030.543273
193,193,10702.8,3413.7,2946.262427,-2744.865641,-0.931643297,317.026729,4026.754236
194,194,10706.4,3423.0,2949.862427,-2735.565641,-0.927353634,317.158587,4023.059497
195,195,10710.1,3432.3,2953.562427,-2726.265641,-0.923043175,317.291654,4019.459585
196,196,10714.0,3441.5,2957.462427,-2717.065641,-0.918715185,317.425839,4016.096326
197,197,10717.7,3450.8,2961.162427,-2707.765641,-0.914426583,317.559374,4012.540054
198,198,10721.4,3460.1,2964.862427,-2698.465641,-0.910148686,317.693146,4009.005616
199,199,10724.9,3469.5,2968.362427,-2689.065641,-0.905908799,317.826292,4005.277708
200,200,10728.4,3478.9,2971.862427,-2679.665641,-0.901678899,317.959686,4001.57147
201,201,10731.7,3488.3,2975.162427,-2670.265641,-0.897519281,318.091412,3997.738118
202,202,10734.8,3497.8,2978.262427,-2660.765641,-0.893395295,318.222548,3993.710165
203,203,10737.9,3507.3,2981.362427,-2651.265641,-0.889279887,318.353949,3989.703174
204,204,10740.8,3516.9,2984.262427,-2641.665641,-0.885198841,318.484783,3985.501172
205,205,10743.5,3526.5,2986.962427,-2632.065641,-0.881184717,318.61399,3981.169938
206,206,10746.0,3536.2,2989.462427,-2622.365641,-0.877203077,318.742661,3976.642699
207,207,10748.4,3545.9,2991.862427,-2612.665641,-0.873257279,318.870676,3972.060238
208,208,10750.6,3555.6,2994.062427,-2602.965641,-0.869375875,318.997091,3967.346713
209,209,10752.7,3565.4,2996.162427,-2593.165641,-0.865495681,319.123953,3962.511493
210,210,10754.6,3575.2,2998.062427,-2583.365641,-0.861678402,319.249235,3957.544232
211,211,10756.3,3585.1,2999.762427,-2573.465641,-0.857889817,319.374043,3952.379033
212,212,10757.8,3595.0,3001.262427,-2563.565641,-0.854162441,319.497292,3947.08056
213,213,10759.1,3604.9,3002.562427,-2553.665641,-0.850495436,319.618988,3941.648048
214,214,10760.3,3614.8,3003.762427,-2543.765641,-0.846859798,319.740078,3936.157054
215,215,10761.2,3624.8,3004.662427,-2533.765641,-0.843277973,319.859802,3930.389882
216,216,10762.1,3634.7,3005.562427,-2523.865641,-0.839731565,319.978759,3924.704228
217,217,10763.1,3644.7,3006.562427,-2513.865641,-0.836126208,320.100121,3919.04811
218,218,10764.2,3654.6,3007.662427,-2503.965641,-0.832528817,320.221644,3913.55046
219,219,10765.5,3664.5,3008.962427,-2494.065641,-0.828878958,320.345379,3908.224444
220,220,10767.0,3674.4,3010.462427,-2484.165641,-0.825177427,320.47132,3903.070965
221,221,10768.6,3684.3,3012.062427,-2474.265641,-0.821452311,320.598527,3898.013664
222,222,10770.1,3694.2,3013.562427,-2464.365641,-0.817758285,320.725132,3892.898215
223,223,10771.4,3704.1,3014.862427,-2454.465641,-0.814121938,320.850209,3887.646722
